DBN,School Name,School Pupil-Teacher Ratio
27Q045,P.S. 045 CLARENCE WITHERSPOON,15.1
26Q041,P.S. 041 CROCHERON,14.9
28Q040,P.S. 040 SAMUEL HUNTINGTON,12.8
29Q038,P.S. 038 ROSEDALE,14.7
29Q037,CYNTHIA JENKINS SCHOOL,14.2
29Q036,P.S. 036 SAINT ALBANS SCHOOL,15.1
29Q035,P.S. 035 NATHANIEL WOODHULL,16.1
29Q034,P.S. 034 JOHN HARVARD,18.2
29Q033,P.S. 033 EDWARD M. FUNK,18.7
25Q032,P.S. 032 STATE STREET,16.6
26Q031,P.S. 031 BAYSIDE,14.8
25Q029,P.S. 029 QUEENS,15.7
24Q028,P.S. 28 - THE THOMAS EMANUEL EARLY CHILDHOOD CENTER,14.5
26Q026,P.S. 026 RUFUS KING,17
25Q024,P.S. 024 ANDREW JACKSON,17.6
25Q022,P.S. 022 THOMAS JEFFERSON,14.2
25Q021,P.S. 021 EDWARD HART,18
25Q020,P.S. 020 JOHN BOWNE,17.1
24Q019,P.S. 019 MARINO JEANTET,15.1
26Q018,P.S. 018 WINCHESTER,16.9
30Q017,P.S. 017 HENRY DAVID THOREAU,14.8
24Q016,P.S. Q016 THE NANCY DEBENEDITTIS SCHOOL,16
29Q015,P.S. 015 JACKIE ROBINSON,15.5
24Q014,P.S. 014 FAIRVIEW,18.2
24Q013,P.S. 013 CLEMENT C. MOORE,17
24Q012,P.S. 012 JAMES B. COLGATE,16.1
30Q011,P.S. 011 KATHRYN PHELAN,15.6
24Q007,P.S. 007 LOUIS F. SIMEONE,15.7
30Q002,P.S. 002 ALFRED ZIMBERG,15
04M964,CENTRAL PARK EAST II,11.3
02M527,PS 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,14.4
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL,15.6
03M452,P.S. 452,13.9
02M397,SPRUCE STREET SCHOOL,14.1
04M375,MOSAIC PREPARATORY ACADEMY,10.3
06M368,HAMILTON HEIGHTS SCHOOL,13.3
01M364,EARTH SCHOOL,13.6
01M363,NEIGHBORHOOD SCHOOL,12.6
01M361,THE CHILDREN'S WORKSHOP SCHOOL,12.5
02M343,THE PECK SLIP SCHOOL,12.4
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,12.2
06M325,P.S. 325,8.9
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,15.1
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,12.3
06M314,MUSCOTA,14.8
06M311,AMISTAD DUAL LANGUAGE SCHOOL,14.3
02M290,P.S. 290 MANHATTAN NEW SCHOOL,16.5
05M286,I.S. M286 RENAISSANCE LEADERSHIP ACADEMY,16.3
02M281,THE RIVER SCHOOL,11.4
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",14.1
03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,11
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,9.3
03M241,STEM INSTITUTE OF MANHATTAN,9.7
02M234,P.S. 234 INDEPENDENCE SCHOOL,15.3
02M212,P.S. 212 MIDTOWN WEST,18.2
03M208,P.S. 208 ALAIN L. LOCKE,10.6
05M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,12.3
