DBN,School Name,School Pupil-Teacher Ratio
14K577,CONSELYEA PREPARATORY SCHOOL,16.4
32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,7.6
16K534,UPPER SCHOOL @ P.S. 25,7.9
23K522,MOTT HALL IV,13.6
23K518,KAPPA V,18.1
13K492,ACADEMY OF ARTS AND LETTERS,17.1
17K484,RONALD EDMONDS LEARNING CENTER II,16.9
19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,14.4
15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,11.4
15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,15.5
15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,8.4
17K394,M.S. K394,16.5
23K392,I.S. 392,13.4
16K385,"SCHOOL OF BUSINESS, FINANCE AND ENTREPRENEURSHIP",6.9
32K384,P.S. /I.S. 384 FRANCES E. CARTER,14.6
32K383,J.H.S. 383 PHILIPPA SCHUYLER,17.1
22K381,I. S. 381,13.2
32K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,14.3
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,11.6
19K364,I.S. 364 GATEWAY,13.6
17K354,THE SCHOOL OF INTEGRATED LEARNING,10.5
17K353,ELIJAH STROUD MIDDLE SCHOOL,11.2
17K352,EBBETS FIELD MIDDLE SCHOOL,8.3
13K351,THE URBAN ASSEMBLY UNISON SCHOOL,10
32K349,"I.S. 349 MATH, SCIENCE & TECH.",11.8
32K347,I.S. 347 SCHOOL OF HUMANITIES,11.7
17K340,I.S. 340,15.5
17K334,MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE,5.5
14K330,THE SCHOOL FOR THE URBAN ENVIRONMENT,25
23K327,P.S. 327 DR. ROSE B. ENGLISH,14.3
23K323,P.S./I.S. 323,16.9
14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,16.3
13K313,SATELLITE WEST MIDDLE SCHOOL,6.8
19K311,ESSENCE SCHOOL,9.7
19K306,P.S. 306 ETHAN ALLEN,11
21K303,I.S. 303 HERBERT S. EISENBERG,15
13K301,SATELLITE EAST MIDDLE SCHOOL,7.6
19K292,J.H.S. 292 MARGARET S. DOUGLAS,15
32K291,J.H.S. 291 ROLAND HAYES,11.2
18K285,I.S. 285 MEYER LEVIN,13.2
23K284,P.S. 284 LEW WALLACE,13.6
13K282,P.S. 282 PARK SLOPE,15.5
21K281,I.S. 281 JOSEPH B CAVALLARO,18.8
22K278,J.H.S. 278 MARINE PARK,12.4
16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",10.1
13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,12.4
16K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,14.4
20K259,J.H.S. 259 WILLIAM MCKINLEY,19.5
17K246,M.S. 246 WALT WHITMAN,11.9
22K240,ANDRIES HUDDE,16
21K239,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,18.4
21K238,P.S. 238 ANNE SULLIVAN,12
18K235,P.S. 235 LENOX SCHOOL,18.4
22K234,J.H.S. 234 ARTHUR W. CUNNINGHAM,19.3
20K229,P.S. 229 DYKER,18.3
21K228,I.S. 228 DAVID A. BOODY,14.4
21K226,P.S. 226 ALFRED DE B.MASON,13.5
21K225,P.S. K225 - THE EILEEN E. ZAGLIN,14.8
20K220,J.H.S. 220 JOHN J. PERSHING,14.8
19K218,J.H.S. 218 JAMES P. SINNOTT,12.5
18K211,I.S. 211 JOHN WILSON,15.4
21K209,P.S. 209 MARGARET MEAD,13.7
22K207,P.S. 207 ELIZABETH G. LEARY,16.2
22K206,P.S. 206 JOSEPH F LAMB,17.3
20K201,J.H.S. 201 THE DYKER HEIGHTS,17.8
20K192,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,13.5
17K189,P.S. 189 THE BILINGUAL CENTER,14.8
20K187,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,19.3
23K184,P.S. 184 NEWPORT,17
17K181,P.S. 181 BROOKLYN,13.8
20K180,THE SEEALL ACADEMY,13.9
23K178,P.S. 178 SAINT CLAIR MCKELWAY,14.9
19K171,I.S. 171 ABRAHAM LINCOLN,14.5
20K163,P.S. 163 BATH BEACH,14.6
32K162,J.H.S. 162 THE WILLOUGHBY,12.6
14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,11.6
23K155,P.S./ I.S. 155 NICHOLAS HERKIMER,14.9
17K138,P.S. 138 BROOKLYN,15.2
23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,11.5
15K136,I.S. 136 CHARLES O. DEWEY,10.2
14K126,JOHN ERICSSON MIDDLE SCHOOL 126,12.8
21K121,P.S. 121 NELSON A. ROCKEFELLER,7.7
13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,12.2
22K109,P.S. 109,14.7
20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,17.8
21K099,P.S. 099 ISAAC ASIMOV,17.1
21K098,I.S. 98 BAY ACADEMY,22.4
21K096,I.S. 096 SETH LOW,12.2
21K095,P.S. 095 THE GRAVESEND,14.6
19K089,P.S. 089 CYPRESS HILLS,11.9
15K088,J.H.S. 088 PETER ROUGET,14.6
14K084,P.S. 084 JOSE DE DIEGO,10.4
22K078,J.H.S. 078 ROY H. MANN,14.6
18K066,P.S. 66,17
20K062,J.H.S. 062 DITMAS,14
17K061,M.S. 061 DR. GLADSTONE H. ATWELL,21.1
16K057,J.H.S. 057 WHITELAW REID,9.8
15K051,M.S. 51 WILLIAM ALEXANDER,17.8
14K050,J.H.S. 050 JOHN D. WELLS,12
32K045,P.S./I.S. 045 HORACE E. GREENE,14.9
23K041,P.S. 041 FRANCIS WHITE,13.6
16K035,M.S. 035 STEPHEN DECATUR,14.2
20K030,PS/IS 30 MARY WHITE OVINGTON,13.3
22K014,J.H.S. 014 SHELL BANK,12.8
13K008,P.S. 008 ROBERT FULTON,14.8
17K002,PARKSIDE PREPARATORY ACADEMY,15.5
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,14.8
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,14.5
12X684,WINGS ACADEMY,15.6
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,16.5
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,10.4
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,12.2
10X565,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,12.6
09X564,CLAREMONT INTERNATIONAL HS,13.6
08X561,BRONX COMPASS HIGH SCHOOL,11.4
08X559,SCHOOL FOR TOURISM AND HOSPITALITY,10.6
08X558,WESTCHESTER SQUARE ACADEMY,13.8
07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,12.5
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,11.3
12X550,HIGH SCHOOL OF WORLD CULTURES,16.8
10X549,DISCOVERY HIGH SCHOOL,19
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,15
07X547,NEW EXPLORERS HIGH SCHOOL,13.4
10X546,BRONX THEATRE HIGH SCHOOL,13.1
11X545,BRONX AEROSPACE HIGH SCHOOL,15.5
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,18.2
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,15.4
11X542,PELHAM PREPARATORY ACADEMY,19.6
08X530,BANANA KELLY HIGH SCHOOL,9.3
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,14.5
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,18.8
10X524,CROTONA INTERNATIONAL HIGH SCHOOL,12.9
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,13.1
12X521,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,13.4
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,6.2
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",12.1
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,14.5
11X514,THE BRONXWOOD PREPARATORY ACADEMY,15.8
11X513,NEW WORLD HIGH SCHOOL,14
12X511,BRONX ENVISION ACADEMY,13.3
11X509,HIGH SCHOOL OF LANGUAGE AND INNOVATION,14.3
11X508,BRONXDALE HIGH SCHOOL,12.7
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",15
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,15.2
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,22.7
12X480,BRONX REGIONAL HIGH SCHOOL,19.3
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,11.5
12X478,THE CINEMA SCHOOL,15
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,15.6
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,13.4
11X455,HARRY S TRUMAN HIGH SCHOOL,20.5
08X452,BRONX GUILD,13.6
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,13.6
10X445,BRONX HIGH SCHOOL OF SCIENCE,21.4
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",16.8
10X440,DEWITT CLINTON HIGH SCHOOL,13.6
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,14.4
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,14
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,12.1
10X434,BELMONT PREPARATORY HIGH SCHOOL,17.1
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,13.7
08X432,BRONX BRIDGES HIGH SCHOOL,12
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,13.3
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,17.8
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,7.1
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,13.2
09X412,BRONX HIGH SCHOOL OF BUSINESS,8.9
08X405,HERBERT H. LEHMAN HIGH SCHOOL,11.4
09X404,SCHOOL FOR EXCELLENCE,16.6
09X403,BRONX INTERNATIONAL HIGH SCHOOL,13.4
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),14.6
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,13.7
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,12.2
08X377,BRONX COMMUNITY HIGH SCHOOL,11.1
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,11.6
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),12.2
12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,11.6
11X370,SCHOOL OF DIPLOMACY,11.5
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),14.5
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",13.4
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,13.5
10X353,WORLD VIEW HIGH SCHOOL,10.8
10X351,BRONX COLLABORATIVE HIGH SCHOOL,13.2
09X350,NEW DIRECTIONS SECONDARY SCHOOL,10.4
08X349,BRONX RIVER HIGH SCHOOL,13.3
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,13.5
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,14.1
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,15.8
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,10.9
09X329,DREAMYARD PREPARATORY SCHOOL,13.7
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,15.3
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,14.9
07X321,CROTONA ACADEMY HIGH SCHOOL,14.2
08X320,PELHAM LAB HIGH SCHOOL,13.3
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,15.6
08X312,MILLENNIUM ART ACADEMY,16
08X305,PABLO NERUDA ACADEMY,10.4
11X299,ASTOR COLLEGIATE ACADEMY,17.1
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,12.7
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,16.4
11X290,BRONX ACADEMY OF HEALTH CAREERS,17
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,17.3
10X284,BRONX SCHOOL OF LAW AND FINANCE,15.6
08X282,WOMEN'S ACADEMY OF EXCELLENCE,13.6
12X278,PEACE AND DIVERSITY ACADEMY,8.4
09X276,LEADERSHIP INSTITUTE,10.8
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,16.7
12X271,EAST BRONX ACADEMY FOR THE FUTURE,12.5
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,16.2
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,13.9
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,22.3
12X267,BRONX LATIN,11.6
11X265,BRONX LAB SCHOOL,12.6
10X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),12.6
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,15.4
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,23.9
07X259,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL)",12.6
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,17.3
09X252,MOTT HALL BRONX HIGH SCHOOL,15.4
12X251,EXPLORATIONS ACADEMY,13
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,15.4
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,19.4
12X248,"METROPOLITAN HIGH SCHOOL, THE",12.1
10X243,WEST BRONX ACADEMY FOR THE FUTURE,12.1
12X242,MOTT HALL V,12.7
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",11.4
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",14
09X231,EAGLE ACADEMY FOR YOUNG MEN,14.4
09X227,BRONX COLLEGIATE ACADEMY,16.3
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,16.2
07X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,13.2
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,13.9
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,15.7
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),15.2
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,21.1
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,15.3
31R470,CONCORD HIGH SCHOOL,13.5
31R460,SUSAN E. WAGNER HIGH SCHOOL,19.5
31R455,TOTTENVILLE HIGH SCHOOL,19.5
31R450,CURTIS HIGH SCHOOL,18.5
31R445,PORT RICHMOND HIGH SCHOOL,17.4
31R440,NEW DORP HIGH SCHOOL,17
31R080,THE MICHAEL J. PETRIDES SCHOOL,17.8
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,13.4
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,16.3
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",17
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,14.3
24Q744,VOYAGES PREPARATORY,14.4
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,20.5
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,17.3
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,15
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,18.9
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,17.8
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",16.1
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,18.5
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,17.1
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,15.9
24Q585,MASPETH HIGH SCHOOL,15.8
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,16
30Q575,ACADEMY OF AMERICAN STUDIES,20.7
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",19.4
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",18
30Q555,NEWCOMERS HIGH SCHOOL,15.4
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,17.4
25Q540,QUEENS ACADEMY HIGH SCHOOL,18.5
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,17.3
25Q525,TOWNSEND HARRIS HIGH SCHOOL,21
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,21.3
28Q505,HILLCREST HIGH SCHOOL,19.4
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,18.8
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,17
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,16.8
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",10
26Q495,BAYSIDE HIGH SCHOOL,20.3
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",8
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",18.6
24Q485,GROVER CLEVELAND HIGH SCHOOL,16.9
27Q480,JOHN ADAMS HIGH SCHOOL,13.2
27Q475,RICHMOND HILL HIGH SCHOOL,14.5
25Q460,FLUSHING HIGH SCHOOL,14.1
24Q455,NEWTOWN HIGH SCHOOL,17.1
30Q450,LONG ISLAND CITY HIGH SCHOOL,15.5
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,17.9
28Q440,FOREST HILLS HIGH SCHOOL,21
26Q435,MARTIN VAN BUREN HIGH SCHOOL,17.1
26Q430,FRANCIS LEWIS HIGH SCHOOL,18.4
25Q425,JOHN BOWNE HIGH SCHOOL,18.5
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,24.4
27Q400,AUGUST MARTIN HIGH SCHOOL,11
27Q351,ROCKAWAY COLLEGIATE HIGH SCHOOL,13.8
28Q350,JAMAICA GATEWAY TO THE SCIENCES,16.8
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,13.5
27Q334,EPIC HIGH SCHOOL - NORTH,17.3
28Q328,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,13.2
29Q327,EAGLE ACADEMY FOR YOUNG MEN III,13
29Q326,CAMBRIA HEIGHTS ACADEMY,13.4
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,16.5
27Q324,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,14.2
27Q323,SCHOLARS' ACADEMY,20.2
27Q319,VILLAGE ACADEMY,11
26Q315,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,14.6
27Q314,EPIC HIGH SCHOOL - SOUTH,15.8
29Q313,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORMATION TECHNOLOGY,11.1
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,13.8
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,12.8
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,17.6
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",15.1
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,16.4
24Q299,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,17.6
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,12.1
24Q293,CIVIC LEADERSHIP ACADEMY,15.2
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",15.8
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,15.7
28Q284,YORK EARLY COLLEGE ACADEMY,17.2
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,18.6
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,11.9
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,18.2
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,17.4
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,17.2
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,19.6
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,17.7
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,13.8
27Q261,VOYAGES PREP - SOUTH QUEENS,16.3
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,15.6
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,18.1
30Q258,ENERGY TECH HIGH SCHOOL,12.5
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",12.8
29Q248,QUEENS PREPARATORY ACADEMY,15.5
29Q243,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,12.1
25Q241,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,13.2
25Q240,VERITAS ACADEMY,16.4
24Q236,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,13.3
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,12.6
28Q157,J.H.S. 157 STEPHEN A. HALSEY,20
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,12.2
03M859,SPECIAL MUSIC SCHOOL,14
01M696,BARD HIGH SCHOOL EARLY COLLEGE,17.5
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",15.9
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,8
04M680,"HERITAGE SCHOOL, THE",13.3
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,15.4
02M655,LIFE SCIENCES SECONDARY SCHOOL,14.4
01M650,CASCADES HIGH SCHOOL,18.6
02M630,ART AND DESIGN HIGH SCHOOL,15.4
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,7.2
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,13.2
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,15.6
02M605,HUMANITIES PREPARATORY ACADEMY,14.1
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,17.9
02M586,HARVEY MILK HIGH SCHOOL,7.7
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,15.3
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,18.4
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,17.1
04M555,CENTRAL PARK EAST HIGH SCHOOL,16.2
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,17.1
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,11.6
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,17.4
02M546,ACADEMY FOR SOFTWARE ENGINEERING,12.8
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,16.6
02M544,INDEPENDENCE HIGH SCHOOL,17.7
02M543,NEW DESIGN HIGH SCHOOL,11.5
02M542,MANHATTAN BRIDGES HIGH SCHOOL,16.3
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,17.4
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,18.3
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",19
02M534,HARVEST COLLEGIATE HIGH SCHOOL,12.6
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,13.7
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,17.8
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,15.8
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,14.1
02M519,TALENT UNLIMITED HIGH SCHOOL,17.1
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,16.9
01M509,MARTA VALLE HIGH SCHOOL,10.9
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,14.1
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,13.6
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,19.5
05M499,FREDERICK DOUGLASS ACADEMY,16.2
04M495,PARK EAST HIGH SCHOOL,13.8
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,16.5
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",14
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,19.1
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,20
03M479,BEACON HIGH SCHOOL,21.7
02M475,STUYVESANT HIGH SCHOOL,21
05M469,CHOIR ACADEMY OF HARLEM,4.7
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,12.1
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,16.7
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,15.9
06M462,THE COLLEGE ACADEMY,19.3
01M458,FORSYTH SATELLITE ACADEMY,16.9
01M450,EAST SIDE COMMUNITY SCHOOL,14.5
02M449,VANGUARD HIGH SCHOOL,13.9
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,13.5
02M439,MANHATTAN VILLAGE ACADEMY,16.6
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,12.7
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,14.3
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,21.8
02M432,MURRAY HILL ACADEMY,11.3
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,12.1
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,15.1
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,10.5
02M422,QUEST TO LEARN,12.4
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,19
02M419,LANDMARK HIGH SCHOOL,14.3
02M418,MILLENNIUM HIGH SCHOOL,17.2
03M417,FRANK MCCOURT HIGH SCHOOL,14.4
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,16.7
